timestamp,link_id,src_port,dst_port,tx_rate_bytes,utilization_pct
2026-09-10T01:59:27.763242,0000000000000002-0000000000000001,2,2,0.0,0.0
2026-09-10T01:59:27.779317,0000000000000001-0000000000000002,2,2,0.0,0.0
2026-09-10T01:59:27.797695,0000000000000003-0000000000000001,1,3,0.0,0.0
2026-09-10T01:59:27.814211,0000000000000003-0000000000000002,2,4,0.0,0.0
2026-09-10T01:59:27.832175,0000000000000001-0000000000000003,3,1,0.0,0.0
2026-09-10T01:59:27.845538,0000000000000002-0000000000000003,4,2,0.0,0.0
2026-09-10T01:59:27.861537,0000000000000004-0000000000000003,3,3,0.0,0.0
2026-09-10T01:59:27.877845,0000000000000004-0000000000000002,2,3,0.0,0.0
2026-09-10T01:59:27.892519,0000000000000004-0000000000000001,1,4,0.0,0.0
2026-09-10T01:59:27.907641,0000000000000003-0000000000000004,3,3,0.0,0.0
2026-09-10T01:59:27.921261,0000000000000002-0000000000000004,3,2,0.0,0.0
2026-09-10T01:59:27.936443,0000000000000001-0000000000000004,4,1,0.0,0.0
2026-09-10T01:59:27.950474,0000000000000005-0000000000000004,3,5,0.0,0.0
2026-09-10T01:59:27.964491,0000000000000005-0000000000000003,2,4,0.0,0.0
2026-09-10T01:59:27.979845,0000000000000004-0000000000000005,5,3,0.0,0.0
2026-09-10T01:59:27.995427,0000000000000003-0000000000000005,4,2,0.0,0.0
2026-09-10T01:59:28.008485,0000000000000006-0000000000000003,2,5,0.0,0.0
2026-09-10T01:59:28.025156,0000000000000006-0000000000000005,4,4,0.0,0.0
2026-09-10T01:59:28.038755,0000000000000006-0000000000000004,3,4,0.0,0.0
2026-09-10T01:59:28.054452,0000000000000003-0000000000000006,5,2,0.0,0.0
2026-09-10T01:59:28.070474,0000000000000005-0000000000000006,4,4,0.0,0.0
2026-09-10T01:59:28.084638,0000000000000004-0000000000000006,4,3,0.0,0.0
2026-09-10T01:59:30.177615,0000000000000002-0000000000000001,2,2,49.7,0.0
2026-09-10T01:59:30.203748,0000000000000001-0000000000000002,2,2,49.7,0.0
2026-09-10T01:59:30.223468,0000000000000003-0000000000000001,1,3,49.7,0.0
2026-09-10T01:59:30.239691,0000000000000003-0000000000000002,2,4,49.7,0.0
2026-09-10T01:59:30.258617,0000000000000001-0000000000000003,3,1,49.7,0.0
2026-09-10T01:59:30.278232,0000000000000002-0000000000000003,4,2,49.7,0.0
2026-09-10T01:59:30.296579,0000000000000004-0000000000000003,3,3,49.7,0.0
2026-09-10T01:59:30.312643,0000000000000004-0000000000000002,2,3,49.7,0.0
2026-09-10T01:59:30.331289,0000000000000004-0000000000000001,1,4,49.7,0.0
2026-09-10T01:59:30.348303,0000000000000003-0000000000000004,3,3,49.7,0.0
2026-09-10T01:59:30.364230,0000000000000002-0000000000000004,3,2,49.7,0.0
2026-09-10T01:59:30.382341,0000000000000001-0000000000000004,4,1,24.85,0.0
2026-09-10T01:59:30.399322,0000000000000005-0000000000000004,3,5,24.85,0.0
2026-09-10T01:59:30.416064,0000000000000005-0000000000000003,2,4,24.85,0.0
2026-09-10T01:59:30.435952,0000000000000004-0000000000000005,5,3,24.85,0.0
2026-09-10T01:59:30.451975,0000000000000003-0000000000000005,4,2,49.7,0.0
